Cidade,UF,População,Possui_Plano_Municipal,População_sem_Água,População_sem_Esgoto,População_sem_coleta_de_lixo,Domicílios_sujeitos_à_inundações
São Paulo,SP,12396372,Sim,0.00,0.00,0.9,1.20
Rio de Janeiro,RJ,6775561,Sim,0.00,10.05,0.00,19.50
Brasília,DF,3094325,Em elaboração,1.00,8.23,2.23,0.10
Salvador,BA,2900319,Sim,1.17,11.64,3.35,0
Fortaleza,CE,2703391,Sim,23.92,44.05,1.00,0.70
Belo Horizonte,MG,2530701,Sim,5.05,6.02,4.00,2.00
Manaus,AM,2255903,Em elaboração,2.5,74.55,0.5,7.90
Curitiba,PR,1963726,Sim,0.00,0.02,0.00,0
Recife,PE,1661017,Em elaboração,3.57,55.01,0.00,13.00
Goiânia,GO,1555626,Em elaboração,0.99,6.61,0.38,0.10
Belém,PA,1506420,Em elaboração,23.16,82.88,4.00,4.10
Porto Alegre,RS,1492530,Sim,0.00,8.38,0.00,1.20
Guarulhos,SP,1404694,Não,0.00,7.71,0.00,2.90
Campinas,SP,1223237,Não,1.91,5.23,0.00,2.30
São Luís,MA,1115932,Em elaboração,13.59,50.15,0.00,0.10
São Gonçalo,RJ,1098357,Sim,9.92,66.3,0.00,7.70
Maceió,AL,1031597,Em elaboração,13.17,76.27,0.07,2.90
Duque de Caxias,RJ,929449,Em elaboração,11.28,62.51,0.34,13.50
Campo Grande,MS,916001,Sim,0.00,11.88,1.00,37.10
Natal,RN,896708,Em elaboração,5.59,56.22,0.88,0.40
Teresina,PI,871126,Em elaboração,4.96,61.21,3.92,0.10
São Bernardo do Campo,SP,849874,Sim,0.00,1.47,0.99,0.20
João Pessoa,PB,825796,Sim,0.00,16.45,0.00,1.40
Nova Iguaçu,RJ,825388,Sim,22.85,44.07,1.09,7.70
São José dos Campos,SP,737310,Sim,0.00,0.34,1.03,0.30
Santo André,SP,723889,Sim,0.00,0.00,0.00,3.60
Ribeirão Preto,SP,720116,Sim,0.27,0.69,0.00,0
