Cidade,UF,População,Possui Plano Municipal,População sem Água,População sem Esgoto,População sem coleta de lixo,Domicílios sujeitos à inundações
São Paulo,SP,12396372,Sim,0.00,0.00,0.01,0.01
Rio de Janeiro,RJ,6775561,Sim,0.00,0.10,0.00,0.20
Brasília,DF,3094325,Em elaboração,0.01,0.08,0.02,0.00
Salvador,BA,2900319,Sim,1.17,0.12,0.03,0.00
Fortaleza,CE,2703391,Sim,0.24,0.44,0.01,0.01
Belo Horizonte,MG,2530701,Sim,0.05,0.06,0.04,0.02
Manaus,AM,2255903,Em elaboração,0.03,0.75,0.01,0.08
Curitiba,PR,1963726,Sim,0.00,0.00,0.00,0.00
Recife,PE,1661017,Em elaboração,0.04,0.55,0.00,0.13
Goiânia,GO,1555626,Em elaboração,0.01,0.07,0.00,0.00
Belém,PA,1506420,Em elaboração,0.23,0.83,0.04,0.04
Porto Alegre,RS,1492530,Sim,0.00,0.08,0.00,0.01
Guarulhos,SP,1404694,Não,0.00,0.08,0.00,0.03
Campinas,SP,1223237,Não,0.02,0.05,0.00,0.02
São Luís,MA,1115932,Em elaboração,0.14,0.50,0.00,0.00
São Gonçalo,RJ,1098357,Sim,0.10,0.66,0.00,0.08
Maceió,AL,1031597,Em elaboração,0.13,0.76,0.00,0.03
Duque de Caxias,RJ,929449,Em elaboração,0.11,0.63,0.00,0.14
Campo Grande,MS,916001,Sim,0.00,0.12,0.01,0.37
Natal,RN,896708,Em elaboração,0.06,0.56,0.01,0.00
Teresina,PI,871126,Em elaboração,0.05,0.61,0.04,0.00
São Bernardo do Campo,SP,849874,Sim,0.00,0.01,0.01,0.00
João Pessoa,PB,825796,Sim,0.00,0.16,0.00,0.01
Nova Iguaçu,RJ,825388,Sim,0.23,0.44,0.01,0.08
São José dos Campos,SP,737310,Sim,0.00,0.00,0.01,0.00
Santo André,SP,723889,Sim,0.00,0.00,0.00,0.04
Ribeirão Preto,SP,720116,Sim,0.00,0.01,0.00,0.00
Jaboatão dos Guararapes,PE,711330,Não,0.20,0.78,0.02,0.06
Uberlândia,MG,706597,Sim,0.00,0.02,0.01,0.00
Osasco,SP,701428,Sim,0.00,0.00,0.00,0.02
Sorocaba,SP,695328,Sim,0.02,0.02,0.00,0.00
